Actual,Predicted
14,16.16324
9,14.832409
3,12.474784
2,11.44303
7,9.651166
3,4.771625
3,3.4442277
5,3.850663
3,4.0234795
8,4.262739
13,6.3442245
7,7.163177
8,7.8105006
0,7.1848793
9,7.236739
2,5.0415583
0,3.498581
4,2.6917543
5,3.781209
2,2.5723987
5,3.1178517
8,4.810555
11,6.2137446
11,7.4741826
8,8.612917
8,9.267381
0,7.686374
2,5.7766547
9,5.3860917
2,4.1634994
0,2.526582
3,3.130044
5,3.7905228
6,3.027598
24,24.770933
15,25.642723
20,23.218538
41,27.352945
29,25.41496
26,25.713175
34,29.364876
35,32.34172
38,31.840952
29,31.817736
28,32.374702
21,29.905613
27,28.203394
40,28.68043
29,28.86555
36,30.389849
23,30.688759
50,35.330055
31,33.632385
16,31.057909
30,29.865526
20,29.375313
29,24.959177
20,22.71124
39,27.40093
33,28.04883
21,28.12867
34,29.100613
25,30.09722
26,27.568811
44,31.68383
22,29.897245
12,23.8178
35,26.411392
13,24.998558
26,21.373621
26,22.264456
33,26.67414
28,25.189068
32,28.874971
20,27.708914
15,25.317717
27,24.00543
19,22.296293
14,18.6262
16,17.789589
19,18.727661
17,16.818697
29,18.849422
13,18.679525
21,19.663958
31,22.192785
23,23.305784
17,20.768124
27,23.52724
33,25.89251
49,29.219736
24,29.439985
25,31.058819
4,26.48147
17,23.385994
21,17.929502
22,17.517256
23,17.152254
31,22.63072
21,23.362322
8,20.656786
16,19.523623
0,0.2991059
5,1.3600957
6,2.622789
8,3.9419112
1,4.1293178
4,5.070534
0,3.9497907
6,4.0292764
6,3.6102762
6,14.349902
12,13.221304
15,14.440871
27,16.363108
24,16.541803
12,17.690248
35,22.323763
37,26.963533
28,27.208055
16,25.727007
20,27.406574
20,24.30633
17,20.162413
15,17.439217
12,16.500504
15,15.47741
20,15.583172
18,15.788899
19,16.60434
40,22.246206
15,22.209421
24,23.008791
33,26.071375
14,25.168406
23,21.947048
26,24.177309
19,23.060549
11,18.522934
18,19.164074
11,16.601093
12,13.777041
19,13.881694
11,13.843153
7,11.752154
18,13.197612
9,12.637242
51,19.183956
6,18.239256
18,20.413994
26,22.135603
20,24.389137
4,6.697643
9,7.309903
5,6.6421676
0,5.2012973
2,4.11673
0,3.253543
2,1.8662777
9,2.7099006
4,3.5660596
0,3.1539087
6,4.486525
3,4.6741815
6,3.9878614
0,3.1250448
3,3.7220764
5,3.4600937
0,2.8255105
0,1.5674362
2,2.0459514
2,1.8124901
2,1.2045069
6,2.5187874
0,2.4815338
4,2.8270798
0,2.4631925
14,4.900645
6,8.512982
4,7.796203
5,5.996204
6,6.0555744
0,3.9990604
11,5.073581
3,4.8196177
10,5.83964
4,5.443819
3,5.8872557
18,7.335693
15,9.71886
5,8.61378
7,9.22107
7,10.087018
7,7.880279
8,6.5068626
0,5.5969124
8,5.7457223
5,5.3274665
2,4.313727
5,3.7830133
3,4.389589
16,6.061605
3,5.5786996
4,6.002751
17,8.425512
6,8.931111
0,5.6597543
4,5.8803678
10,7.138889
9,5.4644313
0,4.2940793
4,5.181433
2,4.8064394
11,4.9402404
8,4.7670226
2,5.241998
3,7.6283436
6,8.25598
0,4.65323
3,2.260667
3,2.9278436
4,3.1629803
6,3.220937
0,3.2648885
2,3.0588877
21,6.9247394
13,8.730744
2,10.393926
6,6.77714
0,4.031484
6,5.2105827
7,4.19105
21,8.166916
4,7.740856
13,10.220692
0,9.030578
0,7.500307
8,4.8727117
0,4.063577
0,1.4911323
23,6.256161
4,7.1674466
12,7.7359815
5,1.621089
3,2.2516458
0,1.5904412
2,2.0407026
3,2.7347608
0,1.6667848
0,0.90058416
0,0.85938865
0,0.41354883
3,0.4125405
0,0.41271615
5,1.6436701
0,1.7549748
0,1.4505063
2,1.2798688
6,2.534924
3,2.7935944
3,2.8229074
8,4.4976945
11,6.2560663
3,5.4069715
1,4.9410834
6,5.5643077
2,4.269513
0,2.1239986
0,1.651108
5,2.4056573
2,1.683641
8,2.9810185
3,3.6334085
2,4.015192
2,3.4220483
4,3.7765856
7,3.564584
4,3.7618508
0,3.4434028
9,4.8686357
7,5.473068
2,4.4861717
3,4.1088123
6,8.232513
14,10.258332
5,7.9989285
5,7.340942
16,9.088398
8,8.459506
9,8.335303
11,7.752257
17,9.223108
20,12.925685
16,14.593665
9,14.480548
12,14.713591
6,12.430573
15,11.333649
8,9.748778
21,12.270135
26,14.983105
16,17.04182
27,19.544981
21,22.17064
19,21.760334
15,19.468279
17,19.673393
12,16.647337
23,17.023027
2,13.582747
11,12.809121
16,12.583581
10,12.155446
6,8.755193
22,12.810397
12,13.055446
25,14.845607
22,17.25878
25,29.411406
3,23.779852
13,21.757635
16,20.199118
21,15.288436
27,15.847939
35,22.369171
23,24.260485
16,24.189112
16,23.216368
30,23.654415
29,22.324099
20,21.824842
19,22.46182
20,23.26127
26,22.53652
34,23.38364
23,23.860058
25,25.077517
11,23.254679
28,23.608202
42,25.293003
23,25.34575
22,24.74114
24,27.31212
30,27.837662
29,25.206675
18,24.357084
0,1.2277082
0,0.73378605
0,0.76958936
0,0.823674
2,0.41633672
0,0.3501251
10,2.5770602
0,2.5763335
0,2.5751796
10,4.31758
8,5.9359155
0,3.7777002
2,4.03648
2,4.374085
8,3.9637501
2,2.811144
2,3.3403683
2,3.4107013
0,3.0484786
0,1.7443712
0,1.3876202
0,0.52907735
0,-0.01237385
0,-0.009799682
2,0.23342243
11,2.6812449
4,3.5765462
0,3.3909614
27,26.538996
25,28.01377
19,25.363157
29,25.481659
24,24.573847
15,22.035917
30,23.007936
48,28.96567
38,30.721018
30,31.874094
40,36.532684
32,36.919262
26,32.66
20,29.255308
24,28.132952
25,24.931105
28,24.151196
36,26.403263
23,26.943102
21,26.29894
16,24.690725
40,27.138468
30,25.794485
33,27.687305
27,28.881653
38,33.294144
28,30.867876
18,28.422703
18,25.3907
16,23.305115
23,20.19166
23,19.229391
41,23.97404
31,26.682611
12,11.979913
16,11.020036
12,11.098778
25,14.164014
27,18.450224
13,18.674479
33,22.212072
22,24.097792
18,22.730246
20,21.377924
14,21.639994
14,17.804562
15,16.526155
0,12.870478
16,12.076514
10,11.294173
16,11.6270275
18,12.31157
16,15.588126
7,13.640233
14,14.358506
12,13.626906
12,12.258605
12,11.3147745
8,11.533326
19,12.605675
0,10.237649
13,10.509723
11,10.388448
10,10.9445715
22,11.5235195
21,15.5322275
19,16.768051
20,18.594456
17,19.919924
10,17.422419
11,15.580933
15,14.695892
23,15.273669
13,14.439641
4,13.257295
8,12.578266
11,11.839412
0,3.1249895
8,3.554755
4,3.3554897
0,2.5219378
8,4.255562
1,4.411679
12,5.196772
4,5.210199
6,6.348124
4,5.4953017
8,6.968423
0,4.5489964
2,4.143784
2,3.3002248
2,2.8892486
4,2.1758847
0,2.232367
2,2.2391105
4,2.5511923
0,2.1318705
7,2.7146301
6,3.969061
6,4.7897735
17,7.460645
11,9.704144
6,9.521601
9,10.083415
3,9.44256
10,8.064307
4,6.5844197
4,6.2030234
2,4.787397
2,2.472365
54,29.574154
30,33.279305
29,34.25744
16,31.94845
26,30.97998
24,24.873785
10,20.769142
24,19.783949
29,22.273195
28,22.67399
14,20.522491
14,21.315413
42,25.01404
31,25.424387
15,22.733522
27,25.537867
18,26.449402
22,22.39031
42,24.514069
32,28.095583
23,27.248888
19,27.416956
27,28.408327
22,24.47096
23,22.596075
14,20.880186
22,21.47502
38,23.727123
15,22.277668
15,20.660778
14,20.617777
29,22.03832
9,16.150185
21,17.304075
15,17.24141
