Actual,Predicted
3,2.9992924
9,8.999281
2,1.9999375
3,2.999549
0,-0.0003401041
0,-0.00033074617
0,-0.000282228
0,-0.00029951334
0,-0.00019365549
0,-0.00015106797
3,2.9996753
0,-0.000297606
12,11.99952
0,-0.000101059675
0,-0.0002156496
0,-0.00013527274
0,-0.00012660027
0,-0.00013449788
0,-0.00013124943
2,1.9998065
2,1.9997343
8,7.9995074
5,4.9994783
3,2.9994583
0,-0.00038850307
0,-0.00030368567
0,-0.00023800135
2,1.9997513
12,11.999552
19,18.999325
11,10.999179
11,10.999158
12,11.999135
2,1.9991883
7,6.999327
5,4.999341
5,4.9993916
7,6.999302
0,-0.0006172061
5,4.9994965
7,6.9995003
2,1.9994197
12,11.999488
5,4.999369
0,-0.0005506873
4,3.9994378
3,2.9993486
5,4.9993143
0,-0.0006043315
0,-0.00060117245
3,2.9993367
7,6.9994526
12,11.99941
10,9.999386
0,-0.00062799454
2,1.9993926
8,7.9993515
17,16.999363
2,1.9993073
4,3.9993777
3,2.9994154
2,1.9993964
2,1.9996263
6,5.999571
2,1.9996012
4,3.9995794
13,12.999517
11,10.999308
10,9.999307
7,6.9991364
11,10.999218
6,5.999119
13,12.999237
0,-0.00072932243
3,2.9993362
0,-0.000526011
9,8.999437
6,5.99939
18,17.999395
6,5.999118
11,10.999184
17,16.999058
12,11.998966
11,10.998987
24,23.998732
13,12.998924
16,15.999062
2,1.9991249
4,3.999157
4,3.9993768
11,10.999363
0,-0.00054347515
8,7.9995027
12,11.999237
4,3.9992824
18,17.999332
13,12.999256
23,22.99908
11,10.999055
11,10.999002
11,10.99905
19,18.99889
17,16.99887
25,24.999035
5,4.9987793
6,5.9988527
16,15.998942
3,2.9990091
14,13.999173
19,18.998997
3,2.9990678
0,-0.00074338913
13,12.999216
0,-0.0006593466
12,11.999466
7,6.9993525
12,11.999159
17,16.999231
7,6.9991016
5,4.999178
3,2.9992514
2,1.9993458
14,13.99924
9,8.999281
6,5.9993453
3,2.9993353
6,5.9991765
5,4.999245
9,8.99921
7,6.9992237
4,3.9990644
15,14.99889
17,16.999075
12,11.998951
9,8.998933
7,6.998783
8,7.9990706
2,1.999099
11,10.999197
7,6.9992285
6,5.9992933
6,5.999349
5,4.9993496
12,11.999369
0,-0.0006672144
3,2.9993896
7,6.9993463
3,2.9993253
4,3.9994073
16,15.9990835
6,5.999256
2,1.9993079
13,12.9993305
5,4.9993024
5,4.9993587
10,9.999347
7,6.9993553
0,-0.0006276965
17,16.999363
6,5.999304
11,10.99934
8,7.9993196
